   0 ,  1    ,  2
 100 ,486.15 ,136.3063736587545
 200 ,321.7  , 60.0209130220459
 300 ,296.6  , 63.57546696643289
 400 ,232.95 , 47.4241236081385
 500 ,213.5  , 40.04934456392514
 600 ,202.35 , 39.81617133778686
 700 ,185.7  , 30.225982200749076
 800 ,166.9  , 33.45579172579839
 900 ,157.2  , 28.480870773204952
1000 ,155.45 , 16.46655701717879
